CEchoService::initialize(int aArgc, const char *aArgv[])
3/4/2013 4:24:43 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:43 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:43 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:43 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:43 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:44 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:44 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:44 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:44 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:45 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:45 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:45 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:45 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:46 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:46 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:46 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:46 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:47 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:47 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:47 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:47 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:47 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:48 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:48 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:48 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:48 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:48 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:49 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:49 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:49 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:49 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:50 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:50 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:50 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:50 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:50 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:51 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:51 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:51 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:51 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:51 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:52 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:52 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
